"row.names","cost","count","type"
"791",403.65,862,"OP"
"792",354,93,"OP"
"793",140.58,164,"OP"
"794",231.38,4927,"OP"
"795",121.03,41,"OP"
"796",66.3,4988,"OP"
"797",90.26,15,"OP"
"798",466.16,26563,"OP"
"799",156.37,352,"OP"
"800",214.71,116,"OP"
"801",83,482723,"OP"
"802",897,19,"OP"
"803",419.23,120,"OP"
"804",56.23,10747,"OP"
"805",64.39,20,"OP"
"806",206.36,627,"OP"
"807",240.55,15,"OP"
"808",71.37,426,"OP"
"809",81.39,258,"OP"
"810",2018.25,27298,"OP"
"811",86.86,1315,"OP"
"812",82.9,14245,"OP"
"813",84.48,356,"OP"
"814",68.74,1285,"OP"
"815",127.65,396,"OP"
"816",428,189,"OP"
"817",272.65,1,"OP"
"818",110.79,210,"OP"
"819",144.28,72,"OP"
"820",483,12,"OP"
"821",88.74,144,"OP"
"822",50.76,545292,"OP"
"823",108.73,1963,"OP"
"824",782,428,"OP"
"825",170.12,55260,"OP"
"826",154.03,68,"OP"
"827",127.43,27,"OP"
"828",274.91,106,"OP"
"829",202.33,17,"OP"
"830",192.72,95,"OP"
"831",123.87,572,"OP"
"832",750.06,12,"OP"
"833",274.27,59,"OP"
"834",304.62,60,"OP"
"835",235.41,232,"OP"
"836",44.37,21289,"OP"
"837",44.44,40366,"OP"
"838",189,76646,"OP"
"839",316,10894,"OP"
"840",135.01,337,"OP"
"841",333.23,581,"OP"
"842",142.88,1075,"OP"
"843",225.21,1843,"OP"
"844",94.27,1,"OP"
"845",133.03,89,"OP"
"846",65.11,654,"OP"
"847",134.19,6022,"OP"
"848",407.57,1669,"OP"
"849",61.93,447,"OP"
"850",102.21,171,"OP"
"851",336,530,"OP"
"852",686,374,"OP"
"853",60.91,21,"OP"
"854",358.61,43,"OP"
"855",143.71,5034,"OP"
"856",302.78,69,"OP"
"857",164.46,622,"OP"
"858",124.66,425,"OP"
"859",103.93,187,"OP"
"860",78.57,44875,"OP"
"861",264.11,2476,"OP"
"862",74.83,172,"OP"
"863",210,140525,"OP"
"864",290,8806,"OP"
"865",414.73,217,"OP"
"866",365,6451,"OP"
"867",126.01,68,"OP"
"868",115.17,1464,"OP"
"869",161.41,3899,"OP"
"870",157.38,73121,"OP"
"871",163.42,986,"OP"
"872",441.44,677,"OP"
"873",199.5,474,"OP"
"874",115.69,22933,"OP"
"875",57.48,205,"OP"
"876",57.98,105,"OP"
"877",233.61,3,"OP"
"878",95.56,27390,"OP"
"879",252.41,7359,"OP"
"880",108.48,10955,"OP"
"881",203.01,1,"OP"
"882",133.14,16,"OP"
"883",97.58,3433,"OP"
"884",82.47,11,"OP"
"885",67.68,11,"OP"
"886",126.84,4,"OP"
"887",96.6,79561,"OP"
"888",168.3,59,"OP"
"889",124.82,906,"OP"
"890",144.84,3,"OP"
"891",256.77,8,"OP"
"892",186.97,2,"OP"
"893",254.04,1111,"OP"
"894",144.81,688,"OP"
"895",330.65,1987,"OP"
"896",104.44,7,"OP"
"897",176.52,30,"OP"
"898",73.14,31,"OP"
"899",55.82,5,"OP"
"900",61.46,447,"OP"
"901",217.7,101,"OP"
"902",210.52,1616,"OP"
"903",228.44,776,"OP"
"904",177.5,4,"OP"
"905",270.76,2,"OP"
"906",266.95,3772,"OP"
"907",82.79,35,"OP"
"908",214.82,8,"OP"
"909",2127,9,"OP"
"910",87,19503,"OP"
"911",21.95,52348,"OP"
"912",78.2,252,"OP"
"913",188.03,97,"OP"
"914",257.98,596,"OP"
"915",186.15,4,"OP"
"916",237.96,2285,"OP"
"917",127.76,6698,"OP"
"918",64.2,45,"OP"
"919",256.8,49,"OP"
"920",108.08,6663,"OP"
"921",63.33,87,"OP"
"922",224.27,2598,"OP"
"923",226.35,2444,"OP"
"924",200.61,4,"OP"
"925",196.35,21,"OP"
"926",83.9,24,"OP"
"927",60.74,115,"OP"
"928",264.61,3075,"OP"
"929",184.35,12,"OP"
"930",205.7,17,"OP"
"931",422.71,17,"OP"
"932",60.57,22,"OP"
"933",51.05,9,"OP"
"934",116.58,133,"OP"
"935",81.64,14,"OP"
"936",199.16,1075,"OP"
"937",55.15,83,"OP"
"938",136.09,121,"OP"
"939",186.88,9,"OP"
"940",58.51,34,"OP"
"941",169.59,10441,"OP"
"942",303.31,1418,"OP"
"943",133.99,4460,"OP"
"944",100.82,6,"OP"
"945",31.27,68,"OP"
"946",159.82,17,"OP"
"947",230.54,13,"OP"
"948",394.28,63,"OP"
"949",27.72,183,"OP"
"950",82.98,9,"OP"
"951",617,89,"OP"
"952",269.48,5,"OP"
"953",171.67,50,"OP"
"954",239.42,30,"OP"
"955",256.92,997,"OP"
"956",185.46,154,"OP"
"957",130.9,88,"OP"
"958",260.83,11,"OP"
"959",189.94,2,"OP"
"960",171.16,6700,"OP"
